sample_id,seed,Percentage of burned trees
0,44019864171096768645731216423890781328,0.004004004004004004
1,235144402084155185615979945603424835346,0.00749063670411985
2,99910834313004708276288550849754251957,0.007036059806508356
3,305380979814005677085356166790922019067,0.006633499170812604
4,141325778182396706245309044075370336284,0.006274509803921568
5,95611974491552579881176054406440048042,0.004836309523809524
6,166232881686070500719393931912203706633,0.0017692852087756545
7,122644466992335813892959617175712517291,0.013832658569500675
8,295644049548340674228909493342764600684,0.008059316569954868
9,199164711306476106313917935099874972410,0.016358024691358025
10,88885667012496485361556962085370066974,0.0014801657785671995
11,31238869768245874641317151049856832781,0.009670079635949944
12,193309191344530051758932834101429382659,0.0035577449370552817
13,324072647885100549610647536335405585411,0.011603375527426161
14,66900599889021848215836078899635826359,0.025699745547073792
15,217148949415744552072539326140420227270,0.029498525073746312
16,286543270911414240880995992894271888325,0.014503090822634332
17,87953242270057011086594163414503975851,0.03360957642725598
18,265006663524163904100079402920073274227,0.07228915662650602
19,317692805879581945779012535726008535151,0.015367965367965367
20,28036640617086584270821254021084148469,0.01828499369482976
21,57746559475268793348960952143085020339,0.08108660130718955
22,122047283821288424486755277845581524965,0.2638061183949146
23,186016813717329830074281461999262703640,0.088553750966744
24,66702363058641035481535404399269355644,0.011111111111111112
25,179245039451867022205864596632315152685,0.5168869309838473
26,70584938021529246583689603957500365437,0.24239169351951306
27,267766208785651228724144414934511372613,0.8480083857442348
28,325882433171548533948531220006200333966,0.8457864210167179
29,307687951112971243942335200796441284212,0.927
